temperature,humidity,light,co2,humidityratio,class
23.7,26.272,585.2,749.2,0.004764163024164,1
23.718,26.29,578.4,760.4,0.004772660992125,1
23.73,26.23,572.666666666667,769.666666666667,0.004765152552465,1
23.7225,26.125,493.75,774.75,0.004743773355997,1
23.754,26.2,488.6,779,0.004766593999986,1
23.76,26.26,568.666666666667,790,0.004779332431635,1
23.73,26.29,536.333333333333,798,0.004776136332749,1
23.754,26.29,509,797,0.00478309370839,1
23.754,26.35,476,803.2,0.00479409399662,1
23.736,26.39,510,809,0.004796188710389,1
23.745,26.445,481.5,815.25,0.004808886220677,1
23.7,26.56,481.8,824,0.004816793367736,1
23.7,26.6,475.25,832,0.004824103836749,1
23.7,26.7,469,845.333333333333,0.004842380755336,1
23.7,26.774,464,852.4,0.00485590636129,1
23.7,26.89,464,861,0.004877109837191,1
23.7,26.9725,455,880,0.004892190768364,1
23.6,26.89,454,891,0.00484759441397,1
23.64,26.976,458,897.6,0.00487504478113,1
23.65,27.05,464,900.5,0.004891491589296,1
23.64,27.1,473,908.8,0.004897630243458,1
23.6,27.16,464,918,0.004896651845225,1
23.6,27.236,498.4,925.2,0.004910461988556,1
23.6,27.29,530.2,929.4,0.004920274828575,1
23.6,27.33,533.6,936.4,0.004927543797016,1
23.6,27.34,524.25,950,0.004929361065464,1
23.625,27.3925,498.666666666667,961,0.004946405747441,1
23.6,27.39,516.333333333333,963,0.004938447565739,1
23.6,27.412,501.2,958.6,0.004942445709303,1
23.6,27.5,522,965.333333333333,0.004958438793517,1
23.6,27.525,520.5,979.25,0.004962982432182,1
23.6,27.6,505.285714285714,978.428571428571,0.004976613743323,1
23.6,27.6,488.333333333333,983,0.004976613743323,1
23.6,27.54,512,992.6,0.004965708646992,1
23.6,27.6,511,997.2,0.004976613743323,1
23.6166666666667,27.6333333333333,501.5,999.5,0.004987718421392,1
23.6666666666667,27.7,503.666666666667,1001,0.005015050860954,1
23.6,27.7,483.166666666667,1009.5,0.004994789746909,1
23.6,27.7225,483.5,1019,0.004998879492949,1
23.6,27.79,473,1021,0.005011149051195,1
23.6,27.8566666666667,470.333333333333,1024.66666666667,0.005023267604764,1
23.6,27.8042857142857,480.142857142857,1030.42857142857,0.005013745844668,1
23.575,27.79,464,1026.25,0.005003544748453,1
23.54,27.81,474.4,1028,0.004996538010603,1
23.6,27.978,470,1034.8,0.005045324574421,1
23.525,28,454,1055.5,0.005026366758195,1
23.5,27.978,454,1055.25,0.005014759724177,1
23.5,28,454,1050,0.00501873480787,1
23.5,28,454,1051.25,0.00501873480787,1
23.5,28,445,1053.6,0.00501873480787,1
23.5,28,439,1055.5,0.00501873480787,1
23.5,28.025,444.25,1055,0.00502325200961,1
23.445,28.125,454.75,1059.5,0.00502449114748,1
23.39,28.18,455.8,1060,0.005017582274385,1
23.39,28.2,451.6,1073.6,0.005021172116351,1
23.39,28.2,451.6,1078.6,0.005021172116351,1
23.39,28.2,454.75,1081,0.005021172116351,1
23.39,28.2225,454.75,1082,0.005025210737696,1
23.39,28.3733333333333,457.5,1088.83333333333,0.005052285802005,1
23.37,28.39,464,1090.6,0.005049129542326,1
23.39,28.3233333333333,464,1086,0.005043310383489,1
23.3733333333333,28.445,464,1092.5,0.005060017034319,1
23.39,28.5,471.5,1103.75,0.005075024678928,1
23.3233333333333,28.5,475.666666666667,1104.5,0.005054475989477,1
23.365,28.5,471.5,1103.5,0.005067310298113,1
23.29,28.5,467.75,1112,0.005044229203962,1
23.3066666666667,28.5333333333333,466.5,1105.66666666667,0.005055303974301,1
23.29,28.7,464,1104,0.005079916402332,1
23.29,28.7,467,1117.2,0.005079916402332,1
23.29,28.675,467.75,1121.25,0.005075455280388,1
23.29,28.6166666666667,466.5,1115.66666666667,0.005065046242691,1
23.29,28.66,459,1120,0.005072778637689,1
23.29,28.55,464,1123.75,0.005053150622744,1
23.29,28.6,470,1116,0.005062072295392,1
23.272,28.6,464,1126.8,0.005056526953044,1
23.2,28.4175,464,1112.75,0.005002015708432,1
23.23,28.5,449,1104.5,0.005025831174769,1
23.29,28.5,464,1108,0.005044229203962,1
23.215,28.6333333333333,462.333333333333,1127.83333333333,0.005044922648211,1
23.2,28.6,469,1128.75,0.005034399152375,1
23.2,28.65,469,1124.25,0.005043271912579,1
23.2,28.62,469,1130.4,0.005037948226324,1
23.2,28.7,464,1138,0.005052144923893,1
23.2,28.7,456.5,1144,0.005052144923893,1
23.2,28.718,457,1140,0.005055339269439,1
23.2,28.79,450.25,1139.25,0.005068116977086,1
23.2,28.79,446,1167.33333333333,0.005068116977086,1
23.14,28.79,451.6,1159.6,0.005049618409759,1
23.15,28.89,454.75,1157.75,0.005070390606668,1
23.15,28.89,448,1159.5,0.005070390606668,1
23.18,28.83,444,1156.4,0.00506903438933,1
23.1166666666667,28.945,444,1160,0.005069809467164,1
23.14,28.956,444,1169.8,0.005078971703222,1
23.1,29,444,1176.16666666667,0.005074362126427,1
23.1,29.075,444,1175.25,0.005087592818012,1
23.1,28.918,444,1166.6,0.005059897209171,1
23.1,27.925,444,1140.25,0.004884783546013,1
23.06,27.772,444,1089.2,0.004845978906963,1
23.02,27.556,435,1042.6,0.004796283995983,1
23.01,27.8188333333333,432,1051.1,0.004839435098129,1
23,28.0816666666667,429,1059.6,0.004882537915141,1
23,27.956,429,1064.6,0.004860517607997,1
22.9816666666667,27.9083333333333,429,1061.66666666667,0.004846741494858,1
23,27.9266666666667,429,1058.33333333333,0.004855377812048,1
23,28.018,429,1061.6,0.004871381544968,1
22.9816666666667,28.0666666666667,429,1070.33333333333,0.004874454172997,1
22.945,28.1,429,1074,0.004869381246704,1
23,28.1,429,1086.25,0.004885750556106,1
22.956,28.2,429,1089.6,0.004890127956968,1
22.9725,28.1,429,1085,0.004877559842592,1
22.945,28.1333333333333,429,1085,0.004875202773628,1
23,28.2,429,1088,0.004903274631941,1
22.945,28.2,429,1091.75,0.004886846151857,1
23,28.1333333333333,429,1091.33333333333,0.00489159180586,1
22.912,28.1,429,1088.2,0.004859582905056,1
22.89,28.1,429,1087.5,0.004853060345748,1
22.89,27.956,432,1079.2,0.004827997529773,1
22.865,27.84,432.75,1077.25,0.004800476426494,1
22.8733333333333,27.6833333333333,439,1064.16666666667,0.004775684242523,1
22.8733333333333,27.6,429,1056.4,0.004761198268773,1
22.89,27.6,432.75,1043.6,0.004766045280111,1
22.815,27.445,432.75,1039.5,0.004717422349366,1
22.84,27.3733333333333,436.5,1028.66666666667,0.004712199539953,1
22.79,27.365,438,1020.4,0.004696390449611,1
22.79,27.2,444,1018,0.004667860584047,1
22.79,27.1714285714286,435.428571428571,1015.14285714286,0.004662920611428,1
22.79,27.0666666666667,434,1006.33333333333,0.004644808044802,1
22.79,27.02,432,1002.6,0.004636740056745,1
22.772,26.934,438,993.2,0.004616793493093,1
